date,water_area_raw (km2),non_water_area_raw (km2),cloud_area_raw (km2),water_area_cloud_corrected (km2)
1/4/19,73.19314035,261.0455751,52.32474212,113.9247292
1/9/19,192.6272377,192.1073239,1.55319662,192.9735914
1/14/19,85.68841235,226.1627672,74.71189413,132.7160364
1/19/19,190.7996363,194.2866296,1.44801135,190.8426424
1/24/19,189.3288956,195.615022,1.570400209,189.4837126
1/29/19,188.4669313,196.6053873,1.480773825,188.5184019
2/3/19,181.499241,203.5661024,1.482755251,181.5261229
2/8/19,145.7622278,194.5413,46.25992967,187.9376115
2/13/19,186.2225338,198.3636225,1.976916825,186.5987037
2/18/19,183.2635054,201.7009417,1.598626084,183.3922155
2/23/19,59.35105444,323.8445424,3.366324635,59.91780077
2/28/19,177.9052317,195.2810214,13.37720436,182.1159016
3/5/19,179.9331887,203.985387,2.644881882,181.001697
3/15/19,54.32595328,329.531591,2.699383071,55.46933201
3/20/19,130.6222392,178.4726505,77.4685678,179.2291147
3/25/19,113.5540375,143.1834458,129.8252054,180.8400616
3/30/19,57.84621008,326.0465693,2.66990999,58.98970777
4/4/19,56.85758888,163.3914558,166.3144128,145.9232199
4/9/19,86.55367265,63.71281767,236.2969672,176.5666656
4/14/19,167.893181,187.0396915,31.63020071,173.4398121
4/19/19,102.5948122,145.5725306,138.3961147,173.6086616
4/24/19,166.2663234,209.5000767,10.79705738,170.8995155
4/29/19,47.83164694,84.05758363,254.674227,179.308109
5/4/19,51.47959319,319.4677435,15.61420159,62.43680501
5/9/19,-1,-1,386.5634575,-1
5/14/19,-1,-1,384.7447246,-1
5/19/19,122.7609629,205.765152,58.03734261,164.5093157
5/24/19,-1,-1,386.5634575,-1
5/29/19,99.8584128,210.9611614,75.74388336,146.6986301
6/3/19,-1,-1,386.5634575,-1
6/8/19,55.20140245,193.1918743,138.1701808,98.52222745
6/13/19,95.82376883,159.7624108,130.9768936,154.9492347
6/18/19,54.76600937,107.6639325,224.1335157,142.8182299
6/23/19,154.3635759,192.1986384,40.00085929,169.0072703
7/3/19,-1,-1,386.4222075,-1
7/8/19,85.05658482,140.0155016,161.4909868,168.2276506
7/13/19,-1,-1,386.5634575,-1
7/18/19,13.45704649,63.09294436,310.0134667,168.4814885
7/23/19,20.33589654,53.76707177,312.4604892,172.8573511
7/28/19,-1,-1,386.5634575,-1
8/2/19,100.9115407,134.3947396,151.2571772,173.9937645
8/7/19,-1,-1,386.5634575,-1
8/12/19,6.297903094,36.645298,343.6202564,190.778365
8/17/19,-1,-1,386.5274397,-1
8/22/19,-1,-1,383.9791021,-1
8/27/19,-1,-1,386.5634575,-1
9/1/19,-1,-1,386.5634575,-1
9/6/19,-1,-1,386.5634575,-1
9/11/19,18.26823033,25.32538452,342.9698427,245.6643382
9/16/19,90.5624132,77.92588311,218.0736244,235.3182592
9/21/19,-1,-1,384.6786985,-1
9/26/19,170.4094467,134.4383333,81.71567752,243.8075634
10/1/19,241.9582824,143.0859819,1.517273944,241.9671131
10/6/19,37.51039772,10.55433217,338.4987276,190.0206848
10/11/19,208.8427251,128.9474838,48.74407679,237.6570688
10/16/19,229.2615381,125.9474962,31.3544232,236.9079449
10/21/19,239.4446511,145.4456682,1.671218356,239.6394131
10/26/19,197.7138681,133.1865284,55.66267679,237.5346795
10/31/19,109.5998127,234.4394632,42.45854241,133.3040794
11/10/19,38.89360843,48.32587979,299.3439693,229.3911772
11/15/19,-1,-1,386.5634575,-1
11/20/19,182.2640295,198.0241089,6.273399889,182.4015878
11/25/19,224.1240573,160.9681311,1.433641733,224.1724369
11/30/19,237.7884178,146.9168133,1.770677834,237.9666539
12/5/19,208.7181044,144.1191711,33.72618201,239.4036011
12/10/19,228.9645611,156.1202423,1.475581031,228.9826086
12/15/19,233.9796637,151.1312467,1.441027277,234.0015509
12/20/19,60.75789487,211.0963062,114.6639169,157.7961364
12/25/19,218.0762715,166.6669227,1.579483415,218.3815666
12/30/19,217.0425313,166.79685,2.722540686,218.0066026
1/4/20,176.2476091,165.8741106,44.44173781,215.0070916
1/9/20,223.9961642,161.0045129,1.50403059,224.0779485
1/14/20,235.9176725,147.9017551,2.744029853,237.1356625
